Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
17,"Etoricoxib 120 mg, Tab","Etoricoxib 120 mg, Tab",8040,No,5AFHECHS@MEDSTORE,20
18,Allopurinol 100 mg Tab,Allopurinol 100 mg Tab,660,No,5AFHECHS@MEDSTORE,20
19,Tramadol HCL 50 mg CapTab,Tramadol HCL 50 mg CapTab,2286,No,5AFHECHS@MEDSTORE,20
20,CetirizineDihydrochloride 10 mg Tab,CetirizineDihydrochloride 10 mg Tab,19266,No,5AFHECHS@MEDSTORE,20
21,LevoCetirizine 5mg Tab,LevoCetirizine 5mg Tab,21306,No,5AFHECHS@MEDSTORE,20
22,Hydrocortisone Sodium Succininate 100 mg Inj,Hydrocortisone Sodium Succininate 100 mg Inj,426,Amp,5AFHECHS@MEDSTORE,20
23,Montelukast 10 mg Tab,Montelukast 10 mg Tab,3636,No,5AFHECHS@MEDSTORE,20
24,Prednisolone 5 mg Tab,Prednisolone 5 mg Tab,3552,No,5AFHECHS@MEDSTORE,20
25,Pheniramine Maleate 25 mg Tab,Pheniramine Maleate 25 mg Tab,1692,No,5AFHECHS@MEDSTORE,20
26,Tab Pramipexole 0.25 mg,Tab Pramipexole 0.25 mg,600,No,5AFHECHS@MEDSTORE,20
27,Donepezil 10 mg Tab,Donepezil 10 mg Tab,1812,No,5AFHECHS@MEDSTORE,20
28,Sodium Divalporate 500 mg Tab,Sodium Divalporate 500 mg Tab,600,No,5AFHECHS@MEDSTORE,20
29,Thiamine 100 mg Tab,Thiamine 100 mg Tab,4200,No,5AFHECHS@MEDSTORE,20
30,Oxcarbazepine 300 mg Tab,Oxcarbazepine 300 mg Tab,1830,No,5AFHECHS@MEDSTORE,20
31,Carbamazepine 200 mg Tab,Carbamazepine 200 mg Tab,1500,No,5AFHECHS@MEDSTORE,20
32,Carbamazepine 200 mg CR Tab,Carbamazepine 200 mg CR Tab,1278,No,5AFHECHS@MEDSTORE,20
33,Clobazam 5 mg Tab,Clobazam 5 mg Tab,690,No,5AFHECHS@MEDSTORE,20
34,Gabapentin 300 mg Cap,Gabapentin 300 mg Cap,4740,No,5AFHECHS@MEDSTORE,20
35,Phenytoin Sodium 100 mg Tab,Phenytoin Sodium 100 mg Tab,3450,No,5AFHECHS@MEDSTORE,20
36,Sumatriptan 50 mg Tab,Sumatriptan 50 mg Tab,582,No,5AFHECHS@MEDSTORE,20
37,Rizatriptan 5 mg Tab,Rizatriptan 5 mg Tab,300,No,5AFHECHS@MEDSTORE,20
38,Baclofen 10 mg Tab,Baclofen 10 mg Tab,1410,No,5AFHECHS@MEDSTORE,20
39,Budesonide 200 mcg with Formeterol 6 mcg percent120 MDI,Budesonide 200 mcg with Formeterol 6 mcg percent120 MDI,42,No,5AFHECHS@MEDSTORE,20
